9sudoku,,,,,Averages,,,,,,,,,,,,,,,,,,,,,,,,,,
R,F,,,,,RF,,,GNB,,,MLP,,,SVM,,,,,,,,,,,,,,,,
0.972222222,0.985585308,0.724238623,,,Accuracy,Balanced Acc,F1-Score,Accuracy,Balanced Acc,F1-Score,Accuracy,Balanced Acc,F1-Score,Accuracy,Balanced Acc,F1-Score,,,,,,,,,,,,,,,
0.98046398,0.990074442,0.652173913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.978632479,0.989098182,0.679616576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.970714286,0.984951333,0.689891112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,L,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.898059259,0.507478004,0.066945607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.908173159,0.710042349,0.439244698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.913429948,0.714989905,0.448706418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.906230347,0.701173109,0.370286271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.971884918,0.765875409,0.542162098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.966320388,0.69597882,0.401985955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.971213276,0.7677895,0.53997582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.974682511,0.875864315,0.733307269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.958974359,0.865025092,0.687934999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
